gvkey,conm,ticker,industry,latest_observed_date,risk_window,pred_risk_5y
041953,NEURAXIS INC,,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6103404760360718
039409,ALPHA MODUS HOLDINGS INC,,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.610281240940094
017727,EKSO BIONICS HOLDINGS INC,,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6100619435310364
037516,TRISALUS LIFE SCIENCES INC,,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6099474787712097
036237,ONCOLOGY INSTITUTE INC (THE),,Health Services,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6096448063850403
031656,REIN THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6093993425369263
050991,NOMADAR CORP,,Amusement & Recreation,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6085355758666993
146659,ABUNDIA GLOBAL IMPACT GRP IN,,Oil & Gas Extraction,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6083499252796173
033499,EXICURE INC,,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6068111777305603
035019,WORKSPORT LTD,,Transportation Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6063439011573791
038783,SENTI BIOSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.606070339679718
050437,WELLGISTICS HEALTH INC,,Wholesale - Nondurable Goods,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6055008351802826
037134,BIODESIX INC,,Health Services,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6050650537014007
030614,ENERGY FOCUS INC,,Electronic Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6026385843753814
039556,BRILLIANT EARTH GP INC,,Misc Retail,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6013849198818206
037526,CXAPP INC,,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6013477563858032
018398,BEELINE HOLDINGS INC,,Food & Kindred Products,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.6004613280296326
032941,BIOXCEL THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.599183851480484
018290,DSS INC,,Business Services & Software,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.5973852097988128
038673,FTC SOLAR INC,,Electronic Equipment,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.5961199939250946
034066,111 INC,,Misc Retail,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.5960658073425293
037896,RYTHM INC,,Food & Kindred Products,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.5942664802074432
183799,FLUENT INC,,Engineering & Management Services,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.5940237283706665
064645,BIO-KEY INTERNATIONAL INC,,Instruments & Medical Devices,2025-12-31,"Dec 2025 - Dec 2030 (5 years from last fiscal year, Alive Companies Only)",0.5925320148468017
