gvkey,conm,latest_observed_date,risk_window,pred_risk_next_12m
032872,CHINA SXT PHARMACEUTICALS,2025-03-31,Apr 2026 → Apr 2027 (approx),0.0028871929
025313,STERIS PLC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.0028865477
037130,THRYV HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002885999
175404,FIRST SOLAR INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028784426
039500,A.K.A. BRAND HOLD CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028759842
037966,BIGBEAR.AI HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028727301
038824,1STDIBS.COM INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002871643
182501,SUI GROUP HOLDINGS LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002870929
016582,NUTRIEN LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028609624
013342,RLI CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028507716
033528,EURODRY LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028501237
035416,ANNOVIS BIO INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028475404
038357,AEVA TECHNOLOGIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028450638
028408,GENTHERM INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028417285
105365,AMERICAN TOWER CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028345007
144437,PDF SOLUTIONS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028335266
043099,TRON INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028330765
163920,WESTERN ALLIANCE BANCORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028316167
162870,BRP INC,2026-01-31,Apr 2026 → Apr 2027 (approx),0.0028290732
038920,CENTURY THERAPEUTI INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028283359
045223,IBOTTA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028239165
035880,BETTERWARE DE MEXICO S A P,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002819655
285556,VALNEVA SE,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002816834
060747,NASUS PHARMA LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028103173
030098,INGERSOLL RAND INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028083096
206243,EXPRO GROUP HOLDINGS N V,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028046651
174390,LEMAITRE VASCULAR INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0028039957
038840,CITIUS ONCOLOGY INC,2025-09-30,Apr 2026 → Apr 2027 (approx),0.002801377
183666,FIEE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027952285
